GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
die Schauspielerin,actress,die Schauspielerinnen,Sie ist Schauspielerin am Eisenacher Theater.
der Planet,planet,die Planeten,Der Jupiter ist der größte Planet unseres Sonnensystems.
das Olympia,Olympics,no plural,Die Jugend der Welt trainiert für Olympia.
die Skala,"scale, dial, range (S~)",die Skalen,Man kann den pH-Weit mit Hilfe einer Skala messen.
der Salon,"salon, drawing room",die Salons,Im Salon steht ein schwarzer Flügel.
der Schweiß,sweat,die Schweiße,Deine Füße riechen nach Schweiß.
der Nacken,neck (N~),die Nacken,Sie schlingt die Arme um meinen Nacken.
die Rezession,recession,die Rezessionen,Die Politik sucht Wege aus der Rezession.
der Palästinenser,Palestinian,die Palästinenser,Arafat war wohl der berühmteste Palästinenser.
der Priester,priest,die Priester,Katholische Priester dürfen nicht heiraten.
das Tagebuch,diary,die Tagebücher,Am Abend schrieb Anne stundenlang in ihr Tagebuch.
die Tafel,"board, table (T~)",die Tafeln,Die Lehrerin schreibt Vokabeln an die Tafel.
das Talent,talent,die Talente,Tina hat großes musikalisches Talent.
das Spektrum,spectrum,die Spektren,Wir haben ein breites Spektrum an Möglichkeiten.
die Unterschrift,signature,die Unterschriften,Da fehlt noch die Unterschrift unter dem Vertrag.
die Unruhe,"restlessness, agitation",die Unruhen,"Von einer inneren Unruhe getrieben, ging Ute zur Tür."
das Vergnügen,pleasure,die Vergnügen,Es ist mir ein Vergnügen.
der Ursprung,origin (U~),die Ursprünge,Die Donau hat ihren Ursprung im Schwarzwald.
das Tempo,"pace, speed",die Tempos,Bei Nebel und Nässe sollte das Tempo beim Autofahren reduziert werden.
die Spalte,"fissure, cleft, column",die Spalten,In der dritten Spalte der Tabelle steht der Preis.
das Verbrechen,crime,die Verbrechen,"Die Polizei versucht, das Verbrechen aufzuklären."
die Steckdose,"socket, electrical outlet",die Steckdosen,"Wenn der Drucker nicht druckt, ist vielleicht der Stecker nicht in der Steckdose."
die Anwesenheit,presence,no plural,Mary wird uns am Sonntag mit ihrer Anwesenheit beglücken.
die Zusammensetzung,composition (Z~),die Zusammensetzungen,Die Zusammensetzung der Gruppen war sehr unterschiedlich.
die Zerstörung,destruction,die Zerstörungen,Nach dem Bombenangriff bot die Stadt ein Bild der Zerstörung.
die Abschreibung,"deduction, depreciation",die Abschreibungen,Durch Abschreibungen verringert man seine Steuerschuld.
die Villa,villa,die Villen,Hinter der Villa erstreckt sich ein parkähnliches Grundstück bis zum Fluss.
die Aufregung,excitement,die Aufregungen,Vor Aufregung brachte sie kein Wort heraus.
der Zinssatz,interest rate,die Zinssätze,Die Zentralbank hat den Zinssatz angehoben.
das Wohnzimmer,living room,die Wohnzimmer,Heute essen wir im Wohnzimmer.
der Vermieter,landlord,die Vermieter,Der Vermieter wohnt im nächsten Haus.
die Achse,"axle, axis",die Achsen,Die Erde dreht sich um ihre eigene Achse.
die Zulassung,"admission, licence (Z~)",die Zulassungen,Die Zulassung zur Prüfung ist Voraussetzung für die Teilnahme an der Klausur.
die Verhaltensweise,"behaviour (V~, long form)",die Verhaltensweisen,Diese Verhaltensweise ist Katzen angeboren.
der Vormittag,morning (V~),die Vormittage,Am Vormittag sind die Geschäfte noch nicht so voll.
die Verordnung,"prescription, order (Ver~)",die Verordnungen,Es handelt sich hier um eine Verordnung meines Arztes.
die Vernunft,reason (V~),no plural,Der Vorschlag entbehrt jeder Vernunft.
die Chefin,"director, boss (female)",die Chefinnen,"Wenn die Chefin Urlaub hat, ist es richtig gemütlich im Büro."
die Autobahn,"expressway, motorway",die Autobahnen,Schon wieder Stau auf der Autobahn zwischen Apolda und Weimar.
die Batterie,battery,die Batterien,Die Batterie gibt Energie.
der Chor,"choir, chorus",die Chöre,Ulrike singt im Chor.
das Design,design (D~),die Designs,"Wenn die Stühle unbequem sind, nützt auch das beste Design nichts."
das Ehepaar,married couple,die Ehepaare,Die beiden sitzen auf dem Sofa wie ein altes Ehepaar.
das Chaos,chaos,no plural,Nach der Feier herrschte im Kinderzimmer ein einziges Chaos.
die Erholung,"recovery, relaxation, rest",no plural,Nach der vielen Arbeit brauche ich jetzt ein wenig Erholung.
der Chip,"chip, crisp",die Chips,Wer hat die Tüte mit den Chips leergegessen?
der Durchschnitt,average (D~),die Durchschnitte,Sein Gehalt liegt über dem Durchschnitt.
der Einbruch,"break in, collapse",die Einbrüche,Der Einbruch ereignete sich am helllichten Tage.
der Dolmetscher,interpreter,die Dolmetscher,Dolmetscher werden bei Arbeitsessen nie satt.
der Eintritt,"entry, admission (E~)",die Eintritte,Der Eintritt ist frei.
der Europäer,European,Die Europäer,Die Europäer brachten neue Krankheiten nach Amerika.
die Germanistik,German studies,no plural,Ingo studiert Germanistik in Leipzig.
die Geduld,patience,no plural,Angler brauchen sehr viel Geduld.
die Haustür,frontdoor,die Haustüren,Die Haustür ist zugeschlossen.
die Fabrik,factory,die Fabriken,Die Fabrik stellt die Produktion ein.
die Gunst,"goodwill, favour",no plural,Leider habe ich jetzt endgültig ihre Gunst verscherzt.
der Innenminister,Minister of the Interior,die Innenminister,Der Innenminister streitet sich mit dem Außenminister.
der General,general,"die Generale, Generäle",Der General schaute aus dem Fenster.
die Hypothese,hypothesis,die Hypothesen,Forschungsbeiträge beginnen oft mit einer Hypothese.
die Furcht,fear (F~),no plural,Roman klapperte vor Furcht mit den Zähnen.
der Handwerker,"workman, tradesman",die Handwerker,"Heute kommt Kevin nicht ins Büro, weil er die Handwerker zuhause hat."
das Gutachten,"report, reference (G~)",no plural,"Zur Bewerbung gehören der Lebenslauf, Zeugnisse und ein Gutachten eines Hochschullehrers."
das Gremium,committee (G~),die Gremien,Über den Einspruch entscheidet das zuständige Gremium.
das Glied,"limb, joint, link",die Glieder,Eine Kette ist nur so stark wie ihr schwächstes Glied.
der Graf,"count, earl",die Grafen,Der Graf wohnt auf einer Burg.
der Italiener,Italian,die Italiener,Giovanni ist Italiener und kommt aus Palermo.
der Islam,Islam,no plural,Der Islam ist eine der großen Weltreligionen.
das Gewehr,"rifle, shotgun",die Gewehre,Der Jäger lehnt das Gewehr an einen Baum.
das Getränk,"drink, beverage",die Getränke,Getränke gibt es am Automaten.
der Parkplatz,parking place,die Parkplätze,"Ich finde keinen Parkplatz, ich komm zu spät zu dir, mein Schatz."
die Konzeption,conception,die Konzeptionen,Wir sollten zuerst eine Konzeption erarbeiten und erst dann an die Öffentlichkeit gehen.
der Kommentar,"comment, opinion",die Kommentare,Auf deine Kommentare kann ich verzichten.
das Magazin,"magazine, storehouse",die Magazine,Die Bücher müssen erst aus dem Magazin geholt werden.
der Kasten,"box, crate (Ka~)",die Kästen,Für die Party brauchen wir noch einen Kasten Bier.
das Menschenrecht,human right,die Menschenrechte,Die Umsetzung der Menschenrechte bereitet selbst in Europa Schwierigkeiten.
die Maus,mouse,die Mäuse,Mit Speck fängt man Mäuse.
der Mythos,"myth, legend",die Mythen,"Bei der Behauptung, Frauen könnten schlechter einparken als Männer, handelt es sich um einen Mythos."
die Minderheit,minority,die Minderheiten,Sorben sind in Deutschland eine Minderheit.
die Kassette,"cassette, tape",die Kassetten,Auf der Kassette sind alte Lieder aus meiner Jugendzeit.
der Mieter,tenant,die Mieter,Mieter dürfen Haustiere nur mit Zustimmung des Vermieters halten.
die Naturwissenschaft,natural science,die Naturwissenschaften,Angelika ist gut in Naturwissenschaften und Mathematik.
die Kreativität,creativity,no plural,Der Kreativität sind keine Grenzen gesetzt.
der Marktanteil,market share,no plural,Diese Zuschauerquote entspricht einem Marktanteil von 30 Prozent.
das Ministerium,"ministry, department",die Ministerien,Sie arbeitet am Ministerium für Finanzen.
das Militär,military,no plural,Nach der Schule geht er zum Militär.
der Regierungschef,head of government,die Regierungschefs,Sie strebt das Amt des Regierungschefs an.
der Spezialist,specialist,die Spezialist,Er ist ein Spezialist auf diesem Gebiet.
das Präparat,"preparation, medication",die Präparate,Der Sportlehrer verabreicht seinen Schülerinnen verbotene Präparate.
die Übersicht,overview (not 'Überblick'),die Übersichten,Vom Lehrerpult aus hat man eine gute Übersicht über die Klasse.
der Stellvertreter,deputy,die Stellvertreter,Für den Präsidenten werden vier Stellvertreter gewählt.
das Ticket,ticket,die Tickets,Tickets gibt es an der Abendkasse und an den bekannten Vorverkaufsstellen.
die Provinz,province,die Provinzen,Die Lebensumstände in der Hauptstadt und in der Provinz sind völlig verschieden.
die Rahmenbedingung,basic condition,die Rahmenbedingungen,Die Regierung will die Rahmenbedingungen für Familien verbessern.
die Scheidung,divorce,die Scheidungen,Eine Scheidung ist ziemlich teuer.
die Schönheit,beauty,die Schönheiten,Sie war keine Schönheit.
die Partnerschaft,partnership,die Partnerschaften,Spaß in der Partnerschaft ist eine ernste Angelegenheit.
die Periode,period,die Perioden,Die Firma erlebt zurzeit die erfolgreichste Periode ihrer Geschichte.
der Tunnel,tunnel,die Tunnel,Der Zug fährt durch einen Tunnel.
die Subvention,subsidy,die Subventionen,"Die Bauern bekommen Subventionen dafür, dass sie auf ihren Feldern Gras statt. Getreide wachsen lassen."
die Steigerung,increase (S~),die Steigerungen,Wirtschaftsexperten erwarten eine Steigerung des Bruttoinlandsproduktes.
die Säule,"column, pillar",die Säulen,Die Säulen tragen verschiedene Kapitelle.
die Vorlesung,lecture (not 'Vortrag'),die Vorlesungen,Die Vorlesung ist total überlaufen.
die Uniform,uniform,die Uniformen,Selbst die Uniformen der Polizei sehen jetzt recht sportlich aus.
die Weiterbildung,continuing education,die Weiterbildungen,Die Firmenleitung schickt ihre Mitarbeiter regelmäßig auf Weiterbildungen.
das Unrecht,"injustice, wrong",no plural,Du bist im Unrecht.
die Zielsetzung,"target, objective",die Zielsetzungen,Im Laufe der Arbeit musste sie ihre Zielsetzung korrigieren.
der Zucker,sugar,no plural,In Cola ist eine Menge Zucker.
die Volkswirtschaft,national economy,die Volkswirtschaften,Die Volkswirtschaft ist letztes Jahr nur unwesentlich gewachsen.
der Block,block,die Blöcke,Lass uns noch einmal um den Block fahren.
der Assistent,assistant,die Assistenten,Der Mann im grünen Jackett ist der Assistent vom Professor.
der Apfel,apple,die Äpfel,Äpfel sind gesund.
die Auswertung,"evaluation, analysis (Aus~)",die Auswertungen,Die Auswertung der Fragebögen erfolgt durch Spezialisten.
das Abkommen,agreement (A~),die Abkommen,Sie haben ein Abkommen zur gegenseitigen Unterstützung geschlossen.
die Beschränkung,restriction (Be~),die Beschränkungen,Die Beschränkung der Geschwindigkeit wird nach der Baustelle aufgehoben.
der Absolvent,graduate,die Absolventen,Die Absolventen werden feierlich verabschiedet.
die Abwehr,defence (A~),no plural,Das Immunsystem ist für die Abwehr von Krankheiten zuständig.
die Arbeitskraft,"work capacity, worker",die Arbeitskräfte,An dieser Stelle sollten wir die Arbeitskräfte bündeln.
die Bar,bar,die Bars,Sie sitzt ganz allein an der Bar und trinkt einen Schnaps nach dem anderen.
die Bekämpfung,"fighting, controlling",die Bekämpfungen,Dieses Mittel eignet sich zur Bekämpfung von Blattläusen.
die Bedrohung,threat,die Bedrohungen,Die Bedrohung durch Computerviren ist nicht zu unterschätzen.
"der Fakt, das Fakt",fact (F~),die Fakten,Olaf kann man nur mit harten Fakten überzeugen.
die Frequenz,frequency,die Frequenzen,"Radio grün sendet auf einer Frequenz von 92, 4."
der Fachbereich,"(academic) department, field",die Fachbereiche,Der Fachbereich Informatik bekommt einen neuen Leiter.
die Frucht,fruit,die Früchte,An der Obsttheke gibt es Früchte aus aller Welt.
das Datum,date (D~),die Daten,Welches Datum haben wir heute?
der Erzähler,"storyteller, narrator",die Erzähler,Opa ist ein guter Erzähler.
die Fassung,"version, composure, frame, socket (F~)",die Fassungen,Die Glühbirne ist nicht richtig in der Fassung.
der Flügel,wing,die Flügel,Der Vogel hat sich den Flügel gebrochen.
die Fachleute,experts,no singular,Diese Messe ist für Laien und Fachleute gleichermaßen von Interesse.
das Forum,"forum, audience, public discussion",die Foren,Sie sprach vor einem internationalen Forum.
das Darlehen,loan (D~),die Darlehen,Sabine bekommt bei keiner Bank mehr ein Darlehen.
die Erhaltung,"preservation, maintenance",no plural,Fortpflanzung dient zur Erhaltung der Art.
der Missbrauch,"abuse, misuse",die Missbräuche,Der Junge könnte einem Missbrauch zum Opfer gefallen sein.
das Metall,metal,die Metalle,"Eisen, Kupfer und Zink sind Metalle."
die Motivation,motivation,die Motivationen,Die Motivation ist entscheidend für den Lernerfolg.
der Gipfel,"peak, summit (G~)",die Gipfel,Die schneebedeckten Gipfel glitzerten in der Abendsonne.
der Indianer,American Indian,die Indianer,Die Indianer Nordamerikas müssen immer noch um ihre Rechte kämpfen.
der Hörer,"listener, receiver (H~)",die Hörer,Der Radiosender legt großen Wert auf d ie Meinung seiner Hörer.
die Linse,(eye) lens,die Linsen,Eine konkave Linse ist in der Mitte dünner als am Rand.
die Jahreszeit,season (J~),die Jahreszeiten,Der Frühling ist die schönste Jahreszeit.
die Gerechtigkeit,justice,no plural,Kinder haben ein starkes Empfinden für Gerechtigkeit.
der Großteil,"large part, majority",die Großteile,Ein Großteil der Einnahmen ergibt sich aus Spenden.
das Industrieland,industrial country,die Industrieländer,Übergewicht ist vor allem ein Problem der Industrieländer.
die Lücke,gap (L~),die Lücken,Der Stürmer nutzt die Lücke in der Abwehr.
die Jagd,"hunt, chase",die Jagden,In den frühen Morgenstunden geht er auf die Jagd.
die Jacke,jacket,die Jacken,Die Jacke hängt am Haken.
die Lampe,lamp,die Lampen,Die Lampe in der Küche ist kaputt.
der Therapeut,therapist,die Therapeuten,"Es ist wichtig, den richtigen Therapeuten zu finden."
die Option,option,die Optionen,Diese Option lasse ich mir offen.
der Respekt,respect (R~),no plural,Vor dieser Leistung habe ich großen Respekt.
die Rose,rose,die Rosen,Zum zehnten Hochzeitstag bekam sie zehn rote Rosen von ihrem Mann.
der Rucksack,"rucksack, backpack",die Rucksäcke,Im Rucksack trägt sie den Proviant und den Regenschirm.
die Reichweite,"reach, range",die Reichweiten,Die Wasserpistole hat eine Reichweite von fünf Metern.
der Sozialdemokrat,Social Democrat,die Sozialdemokraten,Die Sozialdemokraten stellen die Regierung.
der Ordner,"file, folder (O~)",die Ordner,Der Ordner mit den Prozessakten steht im Regal.
die Tablette,"tablet, pill",die Tabletten,Die Tabletten muss man eine halbe Stunde vor dem Essen einnehmen.
die Tageszeitung,daily newspaper,die Tageszeitungen,Die Tageszeitung ist um sechs Uhr morgens im Briefkasten.
die Pistole,pistol,die Pistolen,Der Bankräuber bedrohte die Angestellten mit einer Pistole.
die Reparatur,repair,die Reparaturen,Die Reparatur ist teurer als ein Neukauf.
der Physiker,physicist,die Physiker,Klaus arbeitet als Physiker.
der Sänger,singer,die Sänger,"Das Konzert muss ausfallen, weil der Sänger erkältet ist."
der Ozean,ocean,die Ozeane,In den Tiefen des Ozeans warten gesunkene Schiffe auf ihre Entdeckung durch Schatzsucher.
die Verknüpfung,"combination, link",die Verknüpfungen,Das Seminar ist eine gelungene Verknüpfung von Theorie und Praxis.
der Abfall,"waste, trash",die Abfälle,Bring bitte den Abfall hinaus!
der Zuwachs,increase (Zuw~),die Zuwächse,Analysten rechnen mit einem deutlichen Zuwachs im nächsten Quartal.
die Währung,currency,die Währungen,Seit 2002 haben viele EU-Staaten eine gemeinsame Währung: den Euro.
das Vorfeld,advance,die Vorfelder,Wir sollten uns das im Vorfeld sehr genau ansehen.
die Akte,file (A~),die Akten,"Er bat darum, Einsicht in seine Akte zu bekommen."
der Umzug,"move, parade",die Umzüge,Den Umzug bezahlt die Firma.
der Vorgänger,predecessor,die Vorgänger,Ihr Vorgänger im Amt war sehr beliebt.
der Weltmeister,world champion,die Weltmeister,Der viermalige Weltmeister beendet seine Sport karriere.
der Veranstalter,organizer,die Veranstalter,"Die Veranstalter sprachen von 5000 Demonstranten, die Polizei von 2000."
die Wut,"rage, fury",no plural,Sie ist ganz rot vor Wut.
die Zuordnung,"classification, assignment",die Zuordnungen,Die Zuordnung zu einem Sprachkurs erfolgt durch einen Sprachtest.
der Aufsichtsrat,supervisory board,die Aufsichtsräte,Der Aufsichtsrat hat das Sanierungskonzept gebilligt.
der Gemeinderat,district council,die Gemeinderäte,Im nächsten Jahr wird ein neuer Gemeinderat gewählt.
die Anleihe,"loan, bond, borrowing (A~)",die Anleihen,Manche Anleihen kann man bei fallenden Zinssätzen kündigen.
der Einblick,insight (not 'Einsicht'),die Einblicke,Praktika bieten einen Einblick ins Berufsleben.
die Arbeitszeit,working hours,no plural,Die Gewerkschaften wollen die wöchentliche Arbeitszeit reduzieren.
die Fahne,flag,die Fahnen,Bei Staatstrauer wehen die Fahnen auf Halbmast.
die Erfassung,"recording, entry (E~)",die Erfassungen,Kundenkarten dienen der Erfassung von Daten über den Käufer und sein Kaufverhalten.
die Feier,celebration,die Feiern,Zu der Feier am Sonnabend sind nur die Verwandten eingeladen.
die Beachtung,"attention, consideration (Bea~)",no plural,Der Lehrer schenkt Marie keine Beachtung.
der Araber,Arab,die Araber,Unsere Zahlen haben wir von den Arabern übernommen.
das Diplom,"degree, diploma",die Diplome,Sofort nach seinem Diplom begann Klaus mit der Promotion.
der Ausgangspunkt,starting point,die Ausgangspunkte,Kehren wir zum Ausgangspunkt der Diskussion zurück.
die Fassade,"facade, front",die Fassaden,Die Fassade des Hauses wird neu gestrichen.
der Frühling,spring (not 'Frühjahr'),die Frühlinge,Im Frühling werden die Tage wieder länger.
der Ausweis,identity card,die Ausweise,Dieser Ausweis ist zehn Jahre gültig.
die Fakultät,faculty,die Fakultäten,Die Fakultät für Wirtschaftswissenschaften bietet drei Diplomstudiengänge an.
der Engel,angel,die Engel,Den Hirten erschien ein Engel.
die Ausrichtung,"orientation, organization (A~)",die Ausrichtungen,Die Ausrichtung der nächsten Olympischen Spiele wird wohl an Paris fallen.
der Koch,cook,die Köche,Viele Köche verderben den Brei.
die Laune,mood (L~),die Launen,Sonnenschein macht gute Laune.
die Kerze,candle,die Kerzen,Die Kerzen auf dem Geburtstagskuchen muss man selbst auspusten.
das Nahrungsmittel,"food (N~, long form)",die Nahrungsmittel,Sandra ist gegen viele Nahrungsmittel allergisch.
die Landesregierung,state government (L~),die Landesregierungen,Die Landesregierung ist zerstritten.
die Koralle,coral,die Korallen,Korallen sind ein Schmuckmaterial von ganz besonderer Faszination.
die Krankenkasse,health insurance company,die Krankenkassen,"Die Krankenkassen erhöhen ihre Beiträge um durchschnittlich 0, 5 Prozentpunkte."
das Gewebe,"fabric, tissue",die Gewebe,Die Jacke war aus einem besonders festen Gewebe genäht.
der Prinz,prince,die Prinzen,"Der Prinz küsste Dornröschen, und sie erwachte."
die Kommune,"municipality, local authority (K~)",die Kommunen,"Bund, Länder und Kommunen haben mit niedrigeren Steuereinnahmen zu rechnen."
der Jurist,"jurist, law student",die Juristen,Der jetzige Rektor der Universität ist Jurist.
der Gruß,greeting,die Grüße,Sag deiner Mutter einen schönen Gruß von mir.
das Niederländisch,Dutch (language),no plural,"Christine hat im Oktober angefangen, Niederländisch zu lernen."
der Kunststoff,"synthetic material, plastic",die Kunststoffe,Die meisten Gummistiefel sind aus Kunststoff.
der Philosoph,philosopher,die Philosophen,"Friedrich der Große war Schriftsteller und Philosoph, Feldherr und Komponist."
das Riff,reef,die Riffe,Im Riff leben verschiedene Korallenarten und bunte Fische.
das Schwein,pig,die Schweine,Schweine sind Allesfresser.
die Verbindlichkeit,"obligation, liability, reliability",die Verbindlichkeiten,Die Ehe ist ein Ausdruck der Verbindlichkeit in einer unverbindlichen Welt.
der Spruch,"saying, slogan",die Sprüche,Die Wände waren mit Sprüchen beschmiert.
die Stellungnahme,"opinion, statement (S~)",die Stellungnahmen,Die Politiker gaben im Anschluss an ihre Unterredung eine Stellungnahme ab.
die Relation,"relation, appropriateness, proportion",die Relationen,Der Aufwand steht in keiner Relation zum Ertrag.
das Profil,profile,die Profile,Winterreifen haben ein starkes Profil.
die Schlange,"snake, line",die Schlangen,Vor dem Museum bildete sich eine lange Schlange.
die Selbstständigkeit,independence (S~),no plural,Der Kindergarten will die Selbstständigkeit der Kinder fördern.
die Siedlung,"settlement, housing development",die Siedlungen,Das Dorf entstand aus einer fränkischen Siedlung.
der Strahl,"ray, beam",die Strahlen,Die Strahlen der Sonne fallen durch das Blätterdach.
die Strömung,"current, trend",die Strömungen,Der Fluss hat hier eine starke Strömung.
das Weib,woman (derogatory),die Weiber,Seine Nachbarin ist ein furchtbares Weib.
das Volumen,"volume, total amount","die Volumen, Volumina",Der Auftrag hat ein Volumen von ca. 50 000 Euro.
der Bestandteil,component (B~),die Bestandteile,Zwei Praktika sind obligatorische Bestandteile dieses Studiums.
der Zuhörer,"listener, audience (pl) (Z~)",die Zuhörer,Daniel ist ein guter Zuhörer.
das Vitamin,vitamin,die Vitamine,Kiwis enthalten viel Vitamin C.
der Zugriff,access (not 'Zugang'),die Zugriffe,Auf diese Daten hat nur der Administrator Zugriff.
die Ermittlung,investigation (E~),die Ermittlungen,Die Ermittlungen sind noch nicht abgeschlossen.
